date,category_id,category_title,is_sale_prohibition,year,cos_month,sin_month,cos_quarter,sin_quarter,unique_brand_count,revenue
2018-01-01,1,Wine,0.0,2018,0.866,0.5,0,1,249.0,155801198.97999194
2018-01-01,2,Champagne & Sparkling Wine,0.0,2018,0.866,0.5,0,1,86.0,218561833.819462
2018-01-01,3,Whiskey,0.0,2018,0.866,0.5,0,1,80.0,584683276.3010123
2018-01-01,4,Cognac & Brandy,0.0,2018,0.866,0.5,0,1,51.0,99189952.01300862
2018-01-01,5,Vodka,0.0,2018,0.866,0.5,0,1,51.0,107985286.13629621
2018-02-01,1,Wine,0.0,2018,0.5,0.866,0,1,272.0,143831740.6554498
2018-02-01,2,Champagne & Sparkling Wine,0.0,2018,0.5,0.866,0,1,97.0,183283865.59476328
2018-02-01,3,Whiskey,0.0,2018,0.5,0.866,0,1,85.0,664944522.038983
2018-02-01,4,Cognac & Brandy,0.0,2018,0.5,0.866,0,1,59.0,117197161.20212692
2018-02-01,5,Vodka,0.0,2018,0.5,0.866,0,1,54.0,93901190.76101333
2018-03-01,1,Wine,0.0,2018,0.0,1.0,0,1,237.0,159506297.944557
2018-03-01,2,Champagne & Sparkling Wine,0.0,2018,0.0,1.0,0,1,81.0,226904982.34217137
2018-03-01,3,Whiskey,0.0,2018,0.0,1.0,0,1,90.0,398722961.39452654
2018-03-01,4,Cognac & Brandy,0.0,2018,0.0,1.0,0,1,52.0,122168413.98554517
2018-03-01,5,Vodka,0.0,2018,0.0,1.0,0,1,56.0,119884103.30903998
2018-04-01,1,Wine,0.0,2018,-0.5,0.866,-1,0,238.0,117231222.18184352
2018-04-01,2,Champagne & Sparkling Wine,0.0,2018,-0.5,0.866,-1,0,86.0,139709307.07062492
2018-04-01,3,Whiskey,0.0,2018,-0.5,0.866,-1,0,86.0,421840803.56813735
2018-04-01,4,Cognac & Brandy,0.0,2018,-0.5,0.866,-1,0,60.0,118826132.54063004
2018-04-01,5,Vodka,0.0,2018,-0.5,0.866,-1,0,59.0,93368858.02928719
2018-05-01,1,Wine,0.0,2018,-0.866,0.5,-1,0,247.0,159036782.69822928
2018-05-01,2,Champagne & Sparkling Wine,0.0,2018,-0.866,0.5,-1,0,86.0,172984367.5823508
2018-05-01,3,Whiskey,0.0,2018,-0.866,0.5,-1,0,86.0,428481746.59238946
2018-05-01,4,Cognac & Brandy,0.0,2018,-0.866,0.5,-1,0,66.0,133048159.78224495
2018-05-01,5,Vodka,0.0,2018,-0.866,0.5,-1,0,63.0,72016438.95172396
2018-06-01,1,Wine,0.0,2018,-1.0,0.0,-1,0,267.0,135209809.35574624
