date;category_id;category_title;is_sale_prohibition;year;cos_month;sin_month;cos_quarter;sin_quarter;unique_brand_count;revenue
01.01.2018;1;Wine;0;2018;0.866;0.5;0;1;249;155801199
01.01.2018;2;Champagne & Sparkling Wine;0;2018;0.866;0.5;0;1;86;218561833.8
01.01.2018;3;Whiskey;0;2018;0.866;0.5;0;1;80;584683276.3
01.01.2018;4;Cognac & Brandy;0;2018;0.866;0.5;0;1;51;99189952.01
01.01.2018;5;Vodka;0;2018;0.866;0.5;0;1;51;107985286.1
01.02.2018;1;Wine;0;2018;0.5;0.866;0;1;272;143831740.7
01.02.2018;2;Champagne & Sparkling Wine;0;2018;0.5;0.866;0;1;97;183283865.6
01.02.2018;3;Whiskey;0;2018;0.5;0.866;0;1;85;664944522
01.02.2018;4;Cognac & Brandy;0;2018;0.5;0.866;0;1;59;117197161.2
01.02.2018;5;Vodka;0;2018;0.5;0.866;0;1;54;93901190.76
01.03.2018;1;Wine;0;2018;0;1;0;1;237;159506297.9
01.03.2018;2;Champagne & Sparkling Wine;0;2018;0;1;0;1;81;226904982.3
01.03.2018;3;Whiskey;0;2018;0;1;0;1;90;398722961.4
01.03.2018;4;Cognac & Brandy;0;2018;0;1;0;1;52;122168414
01.03.2018;5;Vodka;0;2018;0;1;0;1;56;119884103.3
01.04.2018;1;Wine;0;2018;-0.5;0.866;-1;0;238;117231222.2
01.04.2018;2;Champagne & Sparkling Wine;0;2018;-0.5;0.866;-1;0;86;139709307.1
01.04.2018;3;Whiskey;0;2018;-0.5;0.866;-1;0;86;421840803.6
01.04.2018;4;Cognac & Brandy;0;2018;-0.5;0.866;-1;0;60;118826132.5
01.04.2018;5;Vodka;0;2018;-0.5;0.866;-1;0;59;93368858.03
01.05.2018;1;Wine;0;2018;-0.866;0.5;-1;0;247;159036782.7
01.05.2018;2;Champagne & Sparkling Wine;0;2018;-0.866;0.5;-1;0;86;172984367.6
01.05.2018;3;Whiskey;0;2018;-0.866;0.5;-1;0;86;428481746.6
